time,ust,mim,ideal
2022-06-01T00:00:00+00:00,2579429.8337684846,3820.3905824074673,0.5
2022-06-02T00:00:00+00:00,2561032.4930085046,4138.837349228803,0.5
2022-06-03T00:00:00+00:00,2562447.590966334,4112.475080495946,0.5
2022-06-05T00:00:00+00:00,2579792.3313465505,3815.5496217383966,0.5
2022-06-06T00:00:00+00:00,2579082.350527769,3826.9265107275987,0.5
2022-06-08T00:00:00+00:00,2613866.726513048,3354.108160091139,0.5
2022-06-09T00:00:00+00:00,2615936.9734868524,3330.2017916655573,0.5
2022-06-10T00:00:00+00:00,2619067.1501424084,3294.8922756980764,0.5
2022-06-11T00:00:00+00:00,2633853.200696034,3138.111665614871,0.5
2022-06-12T00:00:00+00:00,2621506.6250716276,3268.5265366725066,0.5
2022-06-13T00:00:00+00:00,2660111.557162334,2899.126119862378,0.5
2022-06-14T00:00:00+00:00,2649869.923215641,2987.4687905473484,0.5
2022-06-15T00:00:00+00:00,2664943.5895272885,2859.9278674850802,0.5
2022-06-16T00:00:00+00:00,2674406.4305403912,2786.541404631478,0.5
2022-06-17T00:00:00+00:00,2678220.8435743717,2758.2362738513666,0.5
2022-06-18T00:00:00+00:00,2708375.6463514394,2586.5973825418737,0.5
2022-06-19T00:00:00+00:00,2650487.1071036113,3025.2164447211026,0.5
2022-06-20T00:00:00+00:00,2654083.6321106283,2992.803988759461,0.5
2022-06-22T00:00:00+00:00,2652453.6400017156,3007.539900662016,0.5
2022-06-24T00:00:00+00:00,2640114.190016762,3124.376716973455,0.5
2022-06-25T00:00:00+00:00,2643772.5961499815,3089.1404338570665,0.5
2022-06-26T00:00:00+00:00,2590560.4684526515,3726.6417852867316,0.5
2022-06-27T00:00:00+00:00,2546608.402604298,4544.808717095174,0.5
2022-06-28T00:00:00+00:00,2497329.3900819696,6118.09774418313,0.5
